Step,Number
118,1277632336292572136565567907045333493126240753558085976970543431377338517001221790820682860975985162607512740574612965613651385
119,3832897008877716409696703721136000479378722260674257930911630294132015551003665372462048582927955487822538221723838896840954156
120,1916448504438858204848351860568000239689361130337128965455815147066007775501832686231024291463977743911269110861919448420477078
121,958224252219429102424175930284000119844680565168564482727907573533003887750916343115512145731988871955634555430959724210238539
122,2874672756658287307272527790852000359534041695505693448183722720599011663252749029346536437195966615866903666292879172630715618
123,1437336378329143653636263895426000179767020847752846724091861360299505831626374514673268218597983307933451833146439586315357809
124,4312009134987430960908791686278000539301062543258540172275584080898517494879123544019804655793949923800355499439318758946073428
125,2156004567493715480454395843139000269650531271629270086137792040449258747439561772009902327896974961900177749719659379473036714
126,1078002283746857740227197921569500134825265635814635043068896020224629373719780886004951163948487480950088874859829689736518357
127,3234006851240573220681593764708500404475796907443905129206688060673888121159342658014853491845462442850266624579489069209555072
128,1617003425620286610340796882354250202237898453721952564603344030336944060579671329007426745922731221425133312289744534604777536
129,808501712810143305170398441177125101118949226860976282301672015168472030289835664503713372961365610712566656144872267302388768
130,404250856405071652585199220588562550559474613430488141150836007584236015144917832251856686480682805356283328072436133651194384
131,202125428202535826292599610294281275279737306715244070575418003792118007572458916125928343240341402678141664036218066825597192
132,101062714101267913146299805147140637639868653357622035287709001896059003786229458062964171620170701339070832018109033412798596
133,50531357050633956573149902573570318819934326678811017643854500948029501893114729031482085810085350669535416009054516706399298
134,25265678525316978286574951286785159409967163339405508821927250474014750946557364515741042905042675334767708004527258353199649
135,75797035575950934859724853860355478229901490018216526465781751422044252839672093547223128715128026004303124013581775059598948
136,37898517787975467429862426930177739114950745009108263232890875711022126419836046773611564357564013002151562006790887529799474
137,18949258893987733714931213465088869557475372504554131616445437855511063209918023386805782178782006501075781003395443764899737
138,56847776681963201144793640395266608672426117513662394849336313566533189629754070160417346536346019503227343010186331294699212
139,28423888340981600572396820197633304336213058756831197424668156783266594814877035080208673268173009751613671505093165647349606
140,14211944170490800286198410098816652168106529378415598712334078391633297407438517540104336634086504875806835752546582823674803
141,42635832511472400858595230296449956504319588135246796137002235174899892222315552620313009902259514627420507257639748471024410
142,21317916255736200429297615148224978252159794067623398068501117587449946111157776310156504951129757313710253628819874235512205
143,63953748767208601287892845444674934756479382202870194205503352762349838333473328930469514853389271941130760886459622706536616
144,31976874383604300643946422722337467378239691101435097102751676381174919166736664465234757426694635970565380443229811353268308
145,15988437191802150321973211361168733689119845550717548551375838190587459583368332232617378713347317985282690221614905676634154
146,7994218595901075160986605680584366844559922775358774275687919095293729791684166116308689356673658992641345110807452838317077
147,23982655787703225482959817041753100533679768326076322827063757285881189375052498348926068070020976977924035332422358514951232
148,11991327893851612741479908520876550266839884163038161413531878642940594687526249174463034035010488488962017666211179257475616
149,5995663946925806370739954260438275133419942081519080706765939321470297343763124587231517017505244244481008833105589628737808
150,2997831973462903185369977130219137566709971040759540353382969660735148671881562293615758508752622122240504416552794814368904
151,1498915986731451592684988565109568783354985520379770176691484830367574335940781146807879254376311061120252208276397407184452
152,749457993365725796342494282554784391677492760189885088345742415183787167970390573403939627188155530560126104138198703592226
153,374728996682862898171247141277392195838746380094942544172871207591893583985195286701969813594077765280063052069099351796113
154,1124186990048588694513741423832176587516239140284827632518613622775680751955585860105909440782233295840189156207298055388340
155,562093495024294347256870711916088293758119570142413816259306811387840375977792930052954720391116647920094578103649027694170
156,281046747512147173628435355958044146879059785071206908129653405693920187988896465026477360195558323960047289051824513847085
157,843140242536441520885306067874132440637179355213620724388960217081760563966689395079432080586674971880141867155473541541256
158,421570121268220760442653033937066220318589677606810362194480108540880281983344697539716040293337485940070933577736770770628
159,210785060634110380221326516968533110159294838803405181097240054270440140991672348769858020146668742970035466788868385385314
160,105392530317055190110663258484266555079647419401702590548620027135220070495836174384929010073334371485017733394434192692657
161,316177590951165570331989775452799665238942258205107771645860081405660211487508523154787030220003114455053200183302578077972
162,158088795475582785165994887726399832619471129102553885822930040702830105743754261577393515110001557227526600091651289038986
163,79044397737791392582997443863199916309735564551276942911465020351415052871877130788696757555000778613763300045825644519493
164,237133193213374177748992331589599748929206693653830828734395061054245158615631392366090272665002335841289900137476933558480
165,118566596606687088874496165794799874464603346826915414367197530527122579307815696183045136332501167920644950068738466779240
166,59283298303343544437248082897399937232301673413457707183598765263561289653907848091522568166250583960322475034369233389620
167,29641649151671772218624041448699968616150836706728853591799382631780644826953924045761284083125291980161237517184616694810
168,14820824575835886109312020724349984308075418353364426795899691315890322413476962022880642041562645990080618758592308347405
169,44462473727507658327936062173049952924226255060093280387699073947670967240430886068641926124687937970241856275776925042216
170,22231236863753829163968031086524976462113127530046640193849536973835483620215443034320963062343968985120928137888462521108
171,11115618431876914581984015543262488231056563765023320096924768486917741810107721517160481531171984492560464068944231260554
172,5557809215938457290992007771631244115528281882511660048462384243458870905053860758580240765585992246280232034472115630277
173,16673427647815371872976023314893732346584845647534980145387152730376612715161582275740722296757976738840696103416346890832
174,8336713823907685936488011657446866173292422823767490072693576365188306357580791137870361148378988369420348051708173445416
175,4168356911953842968244005828723433086646211411883745036346788182594153178790395568935180574189494184710174025854086722708
176,2084178455976921484122002914361716543323105705941872518173394091297076589395197784467590287094747092355087012927043361354
177,1042089227988460742061001457180858271661552852970936259086697045648538294697598892233795143547373546177543506463521680677
178,3126267683965382226183004371542574814984658558912808777260091136945614884092796676701385430642120638532630519390565042032
179,1563133841982691113091502185771287407492329279456404388630045568472807442046398338350692715321060319266315259695282521016
180,781566920991345556545751092885643703746164639728202194315022784236403721023199169175346357660530159633157629847641260508
181,390783460495672778272875546442821851873082319864101097157511392118201860511599584587673178830265079816578814923820630254
182,195391730247836389136437773221410925936541159932050548578755696059100930255799792293836589415132539908289407461910315127
183,586175190743509167409313319664232777809623479796151645736267088177302790767399376881509768245397619724868222385730945382
184,293087595371754583704656659832116388904811739898075822868133544088651395383699688440754884122698809862434111192865472691
185,879262786115263751113969979496349166714435219694227468604400632265954186151099065322264652368096429587302333578596418074
186,439631393057631875556984989748174583357217609847113734302200316132977093075549532661132326184048214793651166789298209037
187,1318894179172895626670954969244523750071652829541341202906600948398931279226648597983396978552144644380953500367894627112
188,659447089586447813335477484622261875035826414770670601453300474199465639613324298991698489276072322190476750183947313556
189,329723544793223906667738742311130937517913207385335300726650237099732819806662149495849244638036161095238375091973656778
190,164861772396611953333869371155565468758956603692667650363325118549866409903331074747924622319018080547619187545986828389
191,494585317189835860001608113466696406276869811078002951089975355649599229709993224243773866957054241642857562637960485168
192,247292658594917930000804056733348203138434905539001475544987677824799614854996612121886933478527120821428781318980242584
193,123646329297458965000402028366674101569217452769500737772493838912399807427498306060943466739263560410714390659490121292
194,61823164648729482500201014183337050784608726384750368886246919456199903713749153030471733369631780205357195329745060646
195,30911582324364741250100507091668525392304363192375184443123459728099951856874576515235866684815890102678597664872530323
196,92734746973094223750301521275005576176913089577125553329370379184299855570623729545707600054447670308035792994617590970
197,46367373486547111875150760637502788088456544788562776664685189592149927785311864772853800027223835154017896497308795485
198,139102120459641335625452281912508364265369634365688329994055568776449783355935594318561400081671505462053689491926386456
199,69551060229820667812726140956254182132684817182844164997027784388224891677967797159280700040835752731026844745963193228
200,34775530114910333906363070478127091066342408591422082498513892194112445838983898579640350020417876365513422372981596614
201,17387765057455166953181535239063545533171204295711041249256946097056222919491949289820175010208938182756711186490798307
202,52163295172365500859544605717190636599513612887133123747770838291168668758475847869460525030626814548270133559472394922
203,26081647586182750429772302858595318299756806443566561873885419145584334379237923934730262515313407274135066779736197461
204,78244942758548251289316908575785954899270419330699685621656257436753003137713771804190787545940221822405200339208592384
205,39122471379274125644658454287892977449635209665349842810828128718376501568856885902095393772970110911202600169604296192
206,19561235689637062822329227143946488724817604832674921405414064359188250784428442951047696886485055455601300084802148096
207,9780617844818531411164613571973244362408802416337460702707032179594125392214221475523848443242527727800650042401074048
208,4890308922409265705582306785986622181204401208168730351353516089797062696107110737761924221621263863900325021200537024
209,2445154461204632852791153392993311090602200604084365175676758044898531348053555368880962110810631931950162510600268512
210,1222577230602316426395576696496655545301100302042182587838379022449265674026777684440481055405315965975081255300134256
211,611288615301158213197788348248327772650550151021091293919189511224632837013388842220240527702657982987540627650067128
212,305644307650579106598894174124163886325275075510545646959594755612316418506694421110120263851328991493770313825033564
213,152822153825289553299447087062081943162637537755272823479797377806158209253347210555060131925664495746885156912516782
214,76411076912644776649723543531040971581318768877636411739898688903079104626673605277530065962832247873442578456258391
215,229233230737934329949170630593122914743956306632909235219696066709237313880020815832590197888496743620327735368775174
216,114616615368967164974585315296561457371978153316454617609848033354618656940010407916295098944248371810163867684387587
217,343849846106901494923755945889684372115934459949363852829544100063855970820031223748885296832745115430491603053162762
218,171924923053450747461877972944842186057967229974681926414772050031927985410015611874442648416372557715245801526581381
219,515774769160352242385633918834526558173901689924045779244316150095783956230046835623327945249117673145737404579744144
220,257887384580176121192816959417263279086950844962022889622158075047891978115023417811663972624558836572868702289872072
221,128943692290088060596408479708631639543475422481011444811079037523945989057511708905831986312279418286434351144936036
222,64471846145044030298204239854315819771737711240505722405539518761972994528755854452915993156139709143217175572468018
223,32235923072522015149102119927157909885868855620252861202769759380986497264377927226457996578069854571608587786234009
224,96707769217566045447306359781473729657606566860758583608309278142959491793133781679373989734209563714825763358702028
225,48353884608783022723653179890736864828803283430379291804154639071479745896566890839686994867104781857412881679351014
226,24176942304391511361826589945368432414401641715189645902077319535739872948283445419843497433552390928706440839675507
227,72530826913174534085479769836105297243204925145568937706231958607219618844850336259530492300657172786119322519026522
228,36265413456587267042739884918052648621602462572784468853115979303609809422425168129765246150328586393059661259513261
229,108796240369761801128219654754157945864807387718353406559347937910829428267275504389295738450985759179178983778539784
230,54398120184880900564109827377078972932403693859176703279673968955414714133637752194647869225492879589589491889269892
231,27199060092440450282054913688539486466201846929588351639836984477707357066818876097323934612746439794794745944634946
232,13599530046220225141027456844269743233100923464794175819918492238853678533409438048661967306373219897397372972317473
233,40798590138660675423082370532809229699302770394382527459755476716561035600228314145985901919119659692192118916952420
234,20399295069330337711541185266404614849651385197191263729877738358280517800114157072992950959559829846096059458476210
235,10199647534665168855770592633202307424825692598595631864938869179140258900057078536496475479779914923048029729238105
236,30598942603995506567311777899606922274477077795786895594816607537420776700171235609489426439339744769144089187714316
237,15299471301997753283655888949803461137238538897893447797408303768710388350085617804744713219669872384572044593857158
238,7649735650998876641827944474901730568619269448946723898704151884355194175042808902372356609834936192286022296928579
239,22949206952996629925483833424705191705857808346840171696112455653065582525128426707117069829504808576858066890785738
240,11474603476498314962741916712352595852928904173420085848056227826532791262564213353558534914752404288429033445392869
241,34423810429494944888225750137057787558786712520260257544168683479598373787692640060675604744257212865287100336178608
242,17211905214747472444112875068528893779393356260130128772084341739799186893846320030337802372128606432643550168089304
243,8605952607373736222056437534264446889696678130065064386042170869899593446923160015168901186064303216321775084044652
244,4302976303686868111028218767132223444848339065032532193021085434949796723461580007584450593032151608160887542022326
245,2151488151843434055514109383566111722424169532516266096510542717474898361730790003792225296516075804080443771011163
246,6454464455530302166542328150698335167272508597548798289531628152424695085192370011376675889548227412241331313033490
247,3227232227765151083271164075349167583636254298774399144765814076212347542596185005688337944774113706120665656516745
248,9681696683295453249813492226047502750908762896323197434297442228637042627788555017065013834322341118361996969550236
249,4840848341647726624906746113023751375454381448161598717148721114318521313894277508532506917161170559180998484775118
250,2420424170823863312453373056511875687727190724080799358574360557159260656947138754266253458580585279590499242387559
251,7261272512471589937360119169535627063181572172242398075723081671477781970841416262798760375741755838771497727162678
252,3630636256235794968680059584767813531590786086121199037861540835738890985420708131399380187870877919385748863581339
253,10891908768707384906040178754303440594772358258363597113584622507216672956262124394198140563612633758157246590744018
254,5445954384353692453020089377151720297386179129181798556792311253608336478131062197099070281806316879078623295372009
255,16337863153061077359060268131455160892158537387545395670376933760825009434393186591297210845418950637235869886116028
256,8168931576530538679530134065727580446079268693772697835188466880412504717196593295648605422709475318617934943058014
257,4084465788265269339765067032863790223039634346886348917594233440206252358598296647824302711354737659308967471529007
258,12253397364795808019295201098591370669118903040659046752782700320618757075794889943472908134064212977926902414587022
259,6126698682397904009647600549295685334559451520329523376391350160309378537897444971736454067032106488963451207293511
260,18380096047193712028942801647887056003678354560988570129174050480928135613692334915209362201096319466890353621880534
261,9190048023596856014471400823943528001839177280494285064587025240464067806846167457604681100548159733445176810940267
262,27570144070790568043414202471830584005517531841482855193761075721392203420538502372814043301644479200335530432820802
263,13785072035395284021707101235915292002758765920741427596880537860696101710269251186407021650822239600167765216410401
264,41355216106185852065121303707745876008276297762224282790641613582088305130807753559221064952466718800503295649231204
265,20677608053092926032560651853872938004138148881112141395320806791044152565403876779610532476233359400251647824615602
266,10338804026546463016280325926936469002069074440556070697660403395522076282701938389805266238116679700125823912307801
267,31016412079639389048840977780809407006207223321668212092981210186566228848105815169415798714350039100377471736923404
268,15508206039819694524420488890404703503103611660834106046490605093283114424052907584707899357175019550188735868461702
269,7754103019909847262210244445202351751551805830417053023245302546641557212026453792353949678587509775094367934230851
270,23262309059729541786630733335607055254655417491251159069735907639924671636079361377061849035762529325283103802692554
271,11631154529864770893315366667803527627327708745625579534867953819962335818039680688530924517881264662641551901346277
272,34893463589594312679946100003410582881983126236876738604603861459887007454119042065592773553643793987924655704038832
273,17446731794797156339973050001705291440991563118438369302301930729943503727059521032796386776821896993962327852019416
274,8723365897398578169986525000852645720495781559219184651150965364971751863529760516398193388410948496981163926009708
275,4361682948699289084993262500426322860247890779609592325575482682485875931764880258199096694205474248490581963004854
276,2180841474349644542496631250213161430123945389804796162787741341242937965882440129099548347102737124245290981502427
277,6542524423048933627489893750639484290371836169414388488363224023728813897647320387298645041308211372735872944507282
278,3271262211524466813744946875319742145185918084707194244181612011864406948823660193649322520654105686367936472253641
279,9813786634573400441234840625959226435557754254121582732544836035593220846470980580947967561962317059103809416760924
280,4906893317286700220617420312979613217778877127060791366272418017796610423235490290473983780981158529551904708380462
281,2453446658643350110308710156489806608889438563530395683136209008898305211617745145236991890490579264775952354190231
282,7360339975930050330926130469469419826668315690591187049408627026694915634853235435710975671471737794327857062570694
283,3680169987965025165463065234734709913334157845295593524704313513347457817426617717855487835735868897163928531285347
284,11040509963895075496389195704204129740002473535886780574112940540042373452279853153566463507207606691491785593856042
285,5520254981947537748194597852102064870001236767943390287056470270021186726139926576783231753603803345745892796928021
286,16560764945842613244583793556306194610003710303830170861169410810063560178419779730349695260811410037237678390784064
287,8280382472921306622291896778153097305001855151915085430584705405031780089209889865174847630405705018618839195392032
288,4140191236460653311145948389076548652500927575957542715292352702515890044604944932587423815202852509309419597696016
289,2070095618230326655572974194538274326250463787978771357646176351257945022302472466293711907601426254654709798848008
290,1035047809115163327786487097269137163125231893989385678823088175628972511151236233146855953800713127327354899424004
291,517523904557581663893243548634568581562615946994692839411544087814486255575618116573427976900356563663677449712002
292,258761952278790831946621774317284290781307973497346419705772043907243127787809058286713988450178281831838724856001
293,776285856836372495839865322951852872343923920492039259117316131721729383363427174860141965350534845495516174568004
294,388142928418186247919932661475926436171961960246019629558658065860864691681713587430070982675267422747758087284002
295,194071464209093123959966330737963218085980980123009814779329032930432345840856793715035491337633711373879043642001
296,582214392627279371879898992213889654257942940369029444337987098791297037522570381145106474012901134121637130926004
297,291107196313639685939949496106944827128971470184514722168993549395648518761285190572553237006450567060818565463002
298,145553598156819842969974748053472413564485735092257361084496774697824259380642595286276618503225283530409282731501
299,436660794470459528909924244160417240693457205276772083253490324093472778141927785858829855509675850591227848194504
300,218330397235229764454962122080208620346728602638386041626745162046736389070963892929414927754837925295613924097252
301,109165198617614882227481061040104310173364301319193020813372581023368194535481946464707463877418962647806962048626
302,54582599308807441113740530520052155086682150659596510406686290511684097267740973232353731938709481323903481024313
303,163747797926422323341221591560156465260046451978789531220058871535052291803222919697061195816128443971710443072940
304,81873898963211161670610795780078232630023225989394765610029435767526145901611459848530597908064221985855221536470
305,40936949481605580835305397890039116315011612994697382805014717883763072950805729924265298954032110992927610768235
306,122810848444816742505916193670117348945034838984092148415044153651289218852417189772795896862096332978782832304706
307,61405424222408371252958096835058674472517419492046074207522076825644609426208594886397948431048166489391416152353
308,184216272667225113758874290505176023417552258476138222622566230476933828278625784659193845293144499468174248457060
309,92108136333612556879437145252588011708776129238069111311283115238466914139312892329596922646572249734087124228530
310,46054068166806278439718572626294005854388064619034555655641557619233457069656446164798461323286124867043562114265
311,138162204500418835319155717878882017563164193857103666966924672857700371208969338494395383969858374601130686342796
312,69081102250209417659577858939441008781582096928551833483462336428850185604484669247197691984929187300565343171398
313,34540551125104708829788929469720504390791048464275916741731168214425092802242334623598845992464593650282671585699
314,103621653375314126489366788409161513172373145392827750225193504643275278406727003870796537977393780950848014757098
